depth	min	max	median	mean
4	-67	434	25	68
12	11	673	219	252
22	149	965	455	483
42	486	1545	915	941
64	885	2139	1413	1440
86	1326	2680	1924	1944
102	1654	3073	2282	2307
122	2097	3544	2742	2763
142	2508	3967	3198	3219
162	2970	4396	3652	3676
182	3465	4811	4116	4135
202	3968	5207	4567	4594
222	4498	5566	5021	5048
227	4646	5663	5137	5163
232	4780	5757	5253	5280
242	5090	5963	5473	5510
252	5459	6158	5672	5737
262	5695	6619	5994	6060
282	6189	7736	6698	6767
302	6840	8970	7391	7472
322	7660	10163	8062	8181
332	8192	10944	8637	8825
337	8401	11641	9301	9474
342	8621	12316	10049	10133
347	8863	12865	10858	10788
352	9111	13358	11708	11444
362	9626	14198	13466	12710
363	9663	14275	13636	12830
364	9703	14401	13792	12950
368	9875	14728	13964	13154
372	10043	15039	14136	13357
382	10454	15757	14561	13860
392	10913	16425	15003	14369
412	11780	17689	15922	15374
432	12710	18916	16863	16383
452	13588	20112	17825	17397
472	14514	21203	18775	18401
492	15448	22418	19751	19401
502	15885	23011	20247	19903
506	16067	23237	20445	20105
512	16355	23607	20729	20407
562	18619	26436	23204	22939
641	22386	30860	27098	26925
